Angkatan,IPK,CV,Essay,Organisasi,Softskill,Bahasa Lain,Ikuti Peraturan
0,3.9,1,0,1,1,1,1
1,3.65,0,0,0,1,1,1
0,3.5,0,0,1,1,0,1
0,3.5,1,0,1,1,1,1
0,3.68,0,0,0,1,1,1
0,3.9,0,0,0,0,1,0
0,3.57,0,0,0,1,1,0
0,3.1,0,0,0,0,1,1
1,3.21,0,0,0,1,1,1
0,3.34,0,0,0,1,1,1
0,3.44,0,0,0,1,1,1
0,3.89,1,1,0,1,1,1
1,3.55,1,0,1,1,1,1
0,3.57,0,0,1,1,1,1
0,4.0,1,1,1,1,1,1
1,3.5,0,0,0,1,1,1
0,3.6,1,1,1,1,1,1
0,3.55,0,0,1,1,1,1
0,3.45,0,0,1,1,0,1
0,3.4,0,0,0,1,1,1
0,3.5,0,0,0,1,1,0
0,3.8,0,0,0,1,0,1
0,3.8,0,0,0,1,1,1
1,3.25,0,0,1,1,1,0
0,3.9,0,0,0,1,0,1
0,3.3,0,0,1,1,1,1
1,3.92,0,0,0,1,1,1
0,3.7618309859154935,1,0,1,1,1,1
1,3.5,0,0,1,1,0,1
0,4.0,1,1,1,1,1,1
0,3.5,1,1,0,1,1,1
1,3.25,0,0,1,1,0,1
0,4.0,0,0,1,0,0,1
0,4.0,0,0,1,1,0,1
0,3.99,0,0,1,1,1,1
0,3.5,1,1,1,1,0,1
0,3.59,1,1,1,1,0,1
0,4.0,1,1,1,1,1,1
0,3.51,0,0,1,1,1,1
0,3.6,0,0,1,1,1,1
0,3.5,0,0,0,1,1,0
1,4.0,0,0,1,1,1,1
0,3.6,0,0,1,1,1,1
0,3.9,0,0,1,0,0,1
0,3.75,0,0,1,1,1,1
0,4.0,0,0,1,1,1,1
0,3.6,0,0,0,1,1,1
0,3.91,0,0,1,1,0,1
1,4.0,1,1,1,1,1,1
0,4.0,1,1,0,1,1,1
1,4.0,0,0,1,1,1,1
1,3.41,0,0,0,1,0,1
0,3.79,1,0,1,1,1,1
0,3.9,0,0,0,1,1,1
1,3.25,0,0,0,1,1,0
0,3.65,0,0,0,1,1,0
0,3.96,0,0,1,1,0,1
0,3.7,1,0,0,0,1,0
0,3.6,0,0,0,0,0,1
0,3.1,0,0,0,1,1,1
0,3.86,0,0,0,1,1,1
0,4.0,0,0,1,1,1,1
0,3.9,0,0,1,1,1,1
0,4.0,0,0,1,1,1,1
0,3.6,0,0,1,1,1,1
1,4.0,0,0,1,1,0,1
0,3.78,1,1,1,1,1,1
1,3.67,1,1,0,1,1,1
0,12.0,1,0,1,1,0,1
1,2.1,0,1,0,1,1,1
0,3.35,0,0,0,0,1,0
0,3.0,0,0,1,1,1,1
